id,text,category,priority
763,My printer stopped working when I tried to use Salesforce. Error displayed: 0xC004F012.,Account/Access Issue,high
764,Outlook keeps crashing on my laptop. Code 0x80070005.,Network Problem,high
765,Database fails to load on my router showing 0xC004F012.,Service Request,high
766,I can't log into Database from my printer. It returns ERR-9999.,Software Bug,critical
767,I can't log into Teams from my mobile. It returns ERR42.,Other,high
768,CRM Portal fails to load on my router showing TIMEOUT-22.,Service Request,critical
769,There is a problem with Outlook on the laptop. Error: FAIL-101.,Service Request,high
770,I can't log into Active Directory from my printer. It returns ERR-9999.,Service Request,high
771,There is a problem with Salesforce on the printer. Error: ERR-9999.,Other,low
772,"I am unable to access CRM Portal on my server, it shows error FAIL-101.",Security,high
773,There is a problem with Database on the tablet. Error: TIMEOUT-22.,Service Request,critical
774,I can't log into Active Directory from my printer. It returns ERR-9999.,Account/Access Issue,critical
775,"I am unable to access Outlook on my desktop, it shows error ERR42.",Network Problem,critical
776,I can't log into CRM Portal from my laptop. It returns FAIL-101.,Security,high
777,VPN fails to load on my tablet showing 0x80070005.,Security,high
778,Active Directory keeps crashing on my laptop. Code ERR-9999.,Service Request,medium
779,WiFi fails to load on my desktop showing ERR-9999.,Security,high
780,WiFi fails to load on my laptop showing 0x80070005.,Account/Access Issue,high
781,"I am unable to access VPN on my server, it shows error 0x80070005.",Software Bug,high
782,CRM Portal fails to load on my desktop showing 0xC004F012.,Security,high
783,Email fails to load on my printer showing ERR42.,Other,medium
784,Zoom keeps crashing on my server. Code TIMEOUT-22.,Software Bug,critical
785,"I am unable to access Active Directory on my tablet, it shows error TIMEOUT-22.",Service Request,critical
786,"I am unable to access Active Directory on my tablet, it shows error 0x80070005.",Security,high
787,My router stopped working when I tried to use Email. Error displayed: ERR42.,Network Problem,high
788,Salesforce fails to load on my desktop showing AUTH-007.,Account/Access Issue,medium
789,My router stopped working when I tried to use Salesforce. Error displayed: NET-503.,Other,critical
790,I can't log into Database from my server. It returns ERR42.,Software Bug,low
791,I can't log into Email from my server. It returns ERR42.,Software Bug,medium
792,VPN keeps crashing on my laptop. Code ERR42.,Account/Access Issue,low
793,Database fails to load on my printer showing ERR-9999.,Other,critical
794,Teams fails to load on my laptop showing AUTH-007.,Account/Access Issue,medium
795,There is a problem with Zoom on the tablet. Error: NET-503.,Security,critical
796,WiFi fails to load on my laptop showing ERR42.,Software Bug,low
797,"I am unable to access Salesforce on my laptop, it shows error NET-503.",Hardware Issue,critical
798,VPN keeps crashing on my server. Code TIMEOUT-22.,Security,critical
799,I can't log into CRM Portal from my desktop. It returns FAIL-101.,Hardware Issue,high
800,"I am unable to access Zoom on my server, it shows error FAIL-101.",Service Request,high
801,There is a problem with Outlook on the tablet. Error: 0x80070005.,Account/Access Issue,high
802,My tablet stopped working when I tried to use Salesforce. Error displayed: 0xC004F012.,Hardware Issue,high
803,VPN fails to load on my printer showing 0x80070005.,Hardware Issue,high
804,Salesforce keeps crashing on my tablet. Code TIMEOUT-22.,Service Request,critical
805,Active Directory keeps crashing on my router. Code FAIL-101.,Service Request,high
806,There is a problem with Salesforce on the server. Error: FAIL-101.,Network Problem,high
807,My router stopped working when I tried to use Active Directory. Error displayed: 0x80070005.,Other,high
808,My router stopped working when I tried to use Salesforce. Error displayed: 0x80070005.,Service Request,high
809,"I am unable to access Outlook on my router, it shows error 0x80070005.",Account/Access Issue,high
810,"I am unable to access Outlook on my laptop, it shows error AUTH-007.",Software Bug,medium
811,Salesforce keeps crashing on my router. Code ERR42.,Security,critical
812,My server stopped working when I tried to use Zoom. Error displayed: ERR42.,Network Problem,low
813,There is a problem with Zoom on the tablet. Error: ERR-9999.,Other,medium
814,My tablet stopped working when I tried to use VPN. Error displayed: AUTH-007.,Hardware Issue,medium
815,"I am unable to access Outlook on my server, it shows error AUTH-007.",Hardware Issue,medium
816,WiFi keeps crashing on my tablet. Code 0xC004F012.,Network Problem,high
817,There is a problem with Active Directory on the server. Error: FAIL-101.,Network Problem,high
818,My tablet stopped working when I tried to use Salesforce. Error displayed: 0x80070005.,Service Request,high
819,"I am unable to access Teams on my printer, it shows error FAIL-101.",Other,high
820,Teams keeps crashing on my server. Code AUTH-007.,Security,medium
821,VPN keeps crashing on my tablet. Code TIMEOUT-22.,Software Bug,critical
822,I can't log into Salesforce from my router. It returns ERR42.,Network Problem,critical
823,My tablet stopped working when I tried to use VPN. Error displayed: ERR42.,Network Problem,critical
824,There is a problem with WiFi on the desktop. Error: ERR-9999.,Security,medium
825,My desktop stopped working when I tried to use Outlook. Error displayed: AUTH-007.,Hardware Issue,medium
826,My server stopped working when I tried to use VPN. Error displayed: TIMEOUT-22.,Account/Access Issue,critical
827,"I am unable to access Email on my router, it shows error 0x80070005.",Software Bug,high
828,My laptop stopped working when I tried to use Active Directory. Error displayed: 0xC004F012.,Software Bug,high
829,Salesforce keeps crashing on my desktop. Code FAIL-101.,Network Problem,high
830,I can't log into Outlook from my tablet. It returns ERR42.,Network Problem,medium
831,"I am unable to access Outlook on my tablet, it shows error AUTH-007.",Software Bug,medium
832,"I am unable to access Zoom on my router, it shows error 0xC004F012.",Security,high
833,Active Directory keeps crashing on my printer. Code FAIL-101.,Security,high
834,I can't log into Email from my printer. It returns NET-503.,Software Bug,critical
835,Database keeps crashing on my laptop. Code FAIL-101.,Software Bug,high
836,"I am unable to access VPN on my router, it shows error AUTH-007.",Account/Access Issue,medium
837,WiFi fails to load on my server showing TIMEOUT-22.,Account/Access Issue,critical
838,Zoom keeps crashing on my router. Code ERR-9999.,Network Problem,medium
839,"I am unable to access Zoom on my server, it shows error 0xC004F012.",Software Bug,high
840,There is a problem with Salesforce on the desktop. Error: AUTH-007.,Security,medium
841,I can't log into Email from my desktop. It returns AUTH-007.,Security,medium
842,I can't log into Database from my desktop. It returns 0x80070005.,Security,high
843,"I am unable to access Teams on my laptop, it shows error FAIL-101.",Security,high
844,My laptop stopped working when I tried to use Active Directory. Error displayed: ERR42.,Service Request,medium
845,I can't log into VPN from my server. It returns 0x80070005.,Account/Access Issue,high
846,"I am unable to access Salesforce on my laptop, it shows error 0xC004F012.",Other,high
847,My server stopped working when I tried to use Email. Error displayed: AUTH-007.,Network Problem,medium
848,My mobile stopped working when I tried to use Active Directory. Error displayed: AUTH-007.,Security,medium
849,Email keeps crashing on my mobile. Code AUTH-007.,Network Problem,medium
850,My server stopped working when I tried to use Outlook. Error displayed: 0x80070005.,Hardware Issue,high
851,I can't log into Outlook from my mobile. It returns TIMEOUT-22.,Account/Access Issue,critical
852,I can't log into Active Directory from my server. It returns ERR42.,Other,medium
853,CRM Portal fails to load on my router showing TIMEOUT-22.,Account/Access Issue,critical
854,Salesforce keeps crashing on my desktop. Code FAIL-101.,Network Problem,high
855,My mobile stopped working when I tried to use Database. Error displayed: TIMEOUT-22.,Account/Access Issue,critical
856,WiFi keeps crashing on my server. Code FAIL-101.,Hardware Issue,high
857,There is a problem with VPN on the tablet. Error: NET-503.,Other,critical
858,There is a problem with Database on the tablet. Error: FAIL-101.,Service Request,high
859,There is a problem with CRM Portal on the router. Error: ERR-9999.,Security,low
860,I can't log into Database from my laptop. It returns AUTH-007.,Network Problem,medium
861,There is a problem with Teams on the router. Error: ERR-9999.,Account/Access Issue,low
862,My desktop stopped working when I tried to use Active Directory. Error displayed: ERR42.,Service Request,low
863,Outlook keeps crashing on my mobile. Code ERR42.,Account/Access Issue,medium
864,My printer stopped working when I tried to use Teams. Error displayed: ERR-9999.,Hardware Issue,low
865,Active Directory fails to load on my server showing NET-503.,Hardware Issue,critical
866,There is a problem with WiFi on the tablet. Error: ERR-9999.,Hardware Issue,critical
867,There is a problem with Salesforce on the printer. Error: 0x80070005.,Software Bug,high
868,CRM Portal keeps crashing on my desktop. Code AUTH-007.,Software Bug,medium
869,My tablet stopped working when I tried to use Zoom. Error displayed: TIMEOUT-22.,Account/Access Issue,critical
870,WiFi fails to load on my laptop showing 0x80070005.,Software Bug,high
871,There is a problem with Zoom on the desktop. Error: 0x80070005.,Software Bug,high
872,My laptop stopped working when I tried to use Database. Error displayed: 0x80070005.,Software Bug,high
873,My server stopped working when I tried to use Database. Error displayed: AUTH-007.,Hardware Issue,medium
874,I can't log into Active Directory from my tablet. It returns 0xC004F012.,Service Request,high
875,Teams keeps crashing on my mobile. Code TIMEOUT-22.,Software Bug,critical
876,CRM Portal fails to load on my mobile showing ERR42.,Security,high
877,"I am unable to access WiFi on my printer, it shows error AUTH-007.",Account/Access Issue,medium
878,Teams fails to load on my mobile showing FAIL-101.,Network Problem,high
879,Zoom keeps crashing on my server. Code NET-503.,Account/Access Issue,critical
880,Database fails to load on my laptop showing FAIL-101.,Service Request,high
881,Database keeps crashing on my printer. Code AUTH-007.,Account/Access Issue,medium
882,"I am unable to access Teams on my printer, it shows error AUTH-007.",Account/Access Issue,medium
883,There is a problem with Outlook on the tablet. Error: 0x80070005.,Service Request,high
884,I can't log into WiFi from my desktop. It returns ERR-9999.,Hardware Issue,high
885,"I am unable to access WiFi on my printer, it shows error TIMEOUT-22.",Network Problem,critical
886,My server stopped working when I tried to use Salesforce. Error displayed: FAIL-101.,Service Request,high
887,Teams keeps crashing on my tablet. Code 0xC004F012.,Software Bug,high
888,My mobile stopped working when I tried to use Active Directory. Error displayed: NET-503.,Hardware Issue,critical
889,I can't log into Active Directory from my tablet. It returns AUTH-007.,Service Request,medium
890,VPN fails to load on my laptop showing ERR-9999.,Service Request,high
891,Zoom keeps crashing on my printer. Code ERR42.,Network Problem,low
892,"I am unable to access WiFi on my printer, it shows error FAIL-101.",Network Problem,high
893,My server stopped working when I tried to use WiFi. Error displayed: ERR-9999.,Software Bug,medium
894,There is a problem with Active Directory on the desktop. Error: NET-503.,Hardware Issue,critical
895,There is a problem with Zoom on the desktop. Error: NET-503.,Account/Access Issue,critical
896,There is a problem with WiFi on the server. Error: NET-503.,Account/Access Issue,critical
897,My laptop stopped working when I tried to use Active Directory. Error displayed: 0x80070005.,Hardware Issue,high
898,There is a problem with VPN on the laptop. Error: AUTH-007.,Account/Access Issue,medium
899,There is a problem with Teams on the laptop. Error: ERR-9999.,Hardware Issue,medium
900,There is a problem with CRM Portal on the mobile. Error: FAIL-101.,Hardware Issue,high
901,"I am unable to access Active Directory on my tablet, it shows error 0xC004F012.",Service Request,high
902,My desktop stopped working when I tried to use Teams. Error displayed: AUTH-007.,Hardware Issue,medium
903,There is a problem with Email on the desktop. Error: ERR-9999.,Security,low
904,My router stopped working when I tried to use Teams. Error displayed: ERR42.,Network Problem,medium
905,My desktop stopped working when I tried to use Email. Error displayed: AUTH-007.,Other,medium
906,My server stopped working when I tried to use WiFi. Error displayed: NET-503.,Hardware Issue,critical
907,There is a problem with VPN on the printer. Error: NET-503.,Software Bug,critical
908,There is a problem with Database on the router. Error: 0x80070005.,Service Request,high
909,There is a problem with Database on the server. Error: 0x80070005.,Other,high
910,WiFi fails to load on my server showing ERR42.,Account/Access Issue,critical
911,There is a problem with Email on the tablet. Error: 0x80070005.,Account/Access Issue,high
912,There is a problem with Active Directory on the router. Error: AUTH-007.,Network Problem,medium
913,There is a problem with Salesforce on the tablet. Error: AUTH-007.,Security,medium
914,There is a problem with WiFi on the tablet. Error: 0x80070005.,Account/Access Issue,high
915,Active Directory keeps crashing on my printer. Code FAIL-101.,Other,high
916,"I am unable to access WiFi on my server, it shows error ERR-9999.",Network Problem,high
917,I can't log into Teams from my tablet. It returns NET-503.,Hardware Issue,critical
918,I can't log into Salesforce from my tablet. It returns 0x80070005.,Network Problem,high
919,My mobile stopped working when I tried to use WiFi. Error displayed: 0x80070005.,Account/Access Issue,high
920,Database keeps crashing on my server. Code FAIL-101.,Hardware Issue,high
921,Outlook fails to load on my printer showing AUTH-007.,Account/Access Issue,medium
922,I can't log into Teams from my mobile. It returns NET-503.,Account/Access Issue,critical
923,Database keeps crashing on my mobile. Code 0x80070005.,Hardware Issue,high
924,There is a problem with Email on the laptop. Error: AUTH-007.,Other,medium
925,My laptop stopped working when I tried to use Active Directory. Error displayed: AUTH-007.,Security,medium
926,My mobile stopped working when I tried to use Teams. Error displayed: AUTH-007.,Network Problem,medium
927,There is a problem with Email on the router. Error: AUTH-007.,Security,medium
928,There is a problem with VPN on the desktop. Error: AUTH-007.,Software Bug,medium
929,WiFi keeps crashing on my desktop. Code ERR42.,Service Request,critical
930,There is a problem with Outlook on the tablet. Error: FAIL-101.,Software Bug,high
931,VPN fails to load on my mobile showing 0xC004F012.,Other,high
932,I can't log into WiFi from my server. It returns ERR-9999.,Network Problem,medium
933,Database keeps crashing on my mobile. Code TIMEOUT-22.,Hardware Issue,critical
934,Email fails to load on my tablet showing AUTH-007.,Account/Access Issue,medium
935,There is a problem with VPN on the tablet. Error: 0xC004F012.,Other,high
936,Outlook fails to load on my mobile showing 0x80070005.,Other,high
937,"I am unable to access Outlook on my mobile, it shows error AUTH-007.",Other,medium
938,My printer stopped working when I tried to use Zoom. Error displayed: NET-503.,Service Request,critical
939,I can't log into WiFi from my laptop. It returns AUTH-007.,Service Request,medium
940,"I am unable to access VPN on my router, it shows error ERR-9999.",Network Problem,critical
941,There is a problem with CRM Portal on the desktop. Error: ERR42.,Other,critical
942,"I am unable to access WiFi on my router, it shows error TIMEOUT-22.",Service Request,critical
943,I can't log into Active Directory from my tablet. It returns 0x80070005.,Other,high
944,My mobile stopped working when I tried to use Email. Error displayed: 0xC004F012.,Other,high
945,Email keeps crashing on my printer. Code AUTH-007.,Hardware Issue,medium
946,VPN keeps crashing on my laptop. Code ERR42.,Security,medium
947,My desktop stopped working when I tried to use WiFi. Error displayed: ERR-9999.,Service Request,low
948,"I am unable to access CRM Portal on my desktop, it shows error ERR-9999.",Service Request,high
949,WiFi keeps crashing on my mobile. Code FAIL-101.,Software Bug,high
950,I can't log into Outlook from my printer. It returns NET-503.,Network Problem,critical
951,Active Directory keeps crashing on my laptop. Code TIMEOUT-22.,Security,critical
952,My laptop stopped working when I tried to use Outlook. Error displayed: NET-503.,Software Bug,critical
953,There is a problem with Email on the laptop. Error: 0xC004F012.,Account/Access Issue,high
954,There is a problem with Outlook on the tablet. Error: ERR-9999.,Security,critical
955,There is a problem with Zoom on the desktop. Error: 0x80070005.,Account/Access Issue,high
956,My tablet stopped working when I tried to use VPN. Error displayed: ERR-9999.,Software Bug,medium
957,My desktop stopped working when I tried to use Database. Error displayed: ERR-9999.,Software Bug,medium
958,"I am unable to access WiFi on my mobile, it shows error TIMEOUT-22.",Service Request,critical
959,There is a problem with Teams on the router. Error: NET-503.,Service Request,critical
960,WiFi keeps crashing on my server. Code AUTH-007.,Software Bug,medium
961,My router stopped working when I tried to use Zoom. Error displayed: NET-503.,Network Problem,critical
962,Active Directory fails to load on my mobile showing FAIL-101.,Software Bug,high
963,Salesforce fails to load on my printer showing 0x80070005.,Network Problem,high
964,Active Directory keeps crashing on my desktop. Code FAIL-101.,Service Request,high
965,I can't log into Database from my server. It returns AUTH-007.,Network Problem,medium
966,My router stopped working when I tried to use Database. Error displayed: TIMEOUT-22.,Account/Access Issue,critical
967,"I am unable to access Active Directory on my mobile, it shows error 0xC004F012.",Hardware Issue,high
968,Active Directory keeps crashing on my mobile. Code ERR42.,Service Request,high
969,"I am unable to access Email on my laptop, it shows error AUTH-007.",Software Bug,medium
970,Teams fails to load on my laptop showing 0x80070005.,Other,high
971,There is a problem with WiFi on the router. Error: TIMEOUT-22.,Security,critical
972,"I am unable to access Teams on my mobile, it shows error TIMEOUT-22.",Other,critical
973,"I am unable to access Active Directory on my desktop, it shows error TIMEOUT-22.",Hardware Issue,critical
974,"I am unable to access Database on my router, it shows error TIMEOUT-22.",Hardware Issue,critical
975,CRM Portal keeps crashing on my desktop. Code NET-503.,Service Request,critical
976,My printer stopped working when I tried to use Outlook. Error displayed: NET-503.,Software Bug,critical
977,My printer stopped working when I tried to use CRM Portal. Error displayed: ERR42.,Software Bug,medium
978,There is a problem with Salesforce on the tablet. Error: FAIL-101.,Security,high
979,There is a problem with Database on the mobile. Error: 0x80070005.,Hardware Issue,high
980,I can't log into CRM Portal from my router. It returns FAIL-101.,Hardware Issue,high
981,My laptop stopped working when I tried to use CRM Portal. Error displayed: 0xC004F012.,Hardware Issue,high
982,VPN fails to load on my desktop showing ERR42.,Security,medium
983,"I am unable to access VPN on my mobile, it shows error TIMEOUT-22.",Security,critical
984,Database keeps crashing on my desktop. Code AUTH-007.,Security,medium
985,Active Directory fails to load on my server showing 0x80070005.,Security,high
986,Teams fails to load on my printer showing NET-503.,Other,critical
987,I can't log into Email from my mobile. It returns ERR-9999.,Hardware Issue,critical
988,Zoom keeps crashing on my desktop. Code 0x80070005.,Hardware Issue,high
989,Active Directory fails to load on my desktop showing TIMEOUT-22.,Network Problem,critical
990,My router stopped working when I tried to use Outlook. Error displayed: ERR42.,Service Request,high
991,My laptop stopped working when I tried to use WiFi. Error displayed: 0xC004F012.,Network Problem,high
992,I can't log into Salesforce from my printer. It returns FAIL-101.,Security,high
993,"I am unable to access WiFi on my desktop, it shows error AUTH-007.",Account/Access Issue,medium
994,CRM Portal fails to load on my tablet showing NET-503.,Software Bug,critical
995,I can't log into Teams from my router. It returns 0xC004F012.,Network Problem,high
996,There is a problem with WiFi on the printer. Error: ERR-9999.,Account/Access Issue,critical
997,"I am unable to access WiFi on my mobile, it shows error 0xC004F012.",Service Request,high
998,Database fails to load on my printer showing 0xC004F012.,Security,high
999,Outlook keeps crashing on my mobile. Code 0xC004F012.,Network Problem,high
1000,Teams keeps crashing on my tablet. Code FAIL-101.,Account/Access Issue,high
